date	Platform	Role Playing	Puzzle	Simulation	Fighting
19801231	0	0	0	0	0.77
19811231	6.93	0	2.24	0.45	0
19821231	5.03	0	10.03	0	0
19831231	6.93	0	0.78	0	0
19841231	0.69	0	3.14	0	0
19851231	43.17	0	3.21	0.03	1.05
19861231	9.39	2.52	0	0	0
19871231	1.74	4.65	0	0	5.42
19881231	27.73	5.88	5.58	0.03	0
19891231	20.66	2.2	37.75	0	0
19901231	22.97	4.52	6	1.14	0
19911231	7.64	3.25	3.24	2.14	0.39
19921231	13.42	6.86	4.84	2.14	15.25
19931231	18.67	5.59	3.17	0.19	8.75
19941231	28.74	7.11	1.53	2.73	8.47
19951231	16.69	14.26	2.71	4.18	14.85
19961231	28.23	43.96	3.91	11.33	18.06
19971231	21.85	21.79	5.89	9.65	11.76
19981231	29.88	28.09	6.34	7.11	31.66
19991231	20.82	49.09	1.36	11.44	14.26
20001231	16.06	29.03	3.82	3.38	20.22
20011231	39.28	22.06	7.99	19.54	18.12
20021231	45.97	45.13	5.34	10.81	25.02
20031231	42.89	30.28	2.42	21.21	23.73
20041231	47.34	53.95	8.43	10.85	16.78
20051231	23.56	28.55	20.45	49.27	19.72
20061231	49.8	57.73	10.89	21.77	22.55
20071231	35.59	43.89	23.99	48.97	17.61
20081231	35.7	59.83	15.59	46.76	35.38
20091231	41.09	47.9	20.31	33.71	32.15
20101231	31.9	70.51	11.18	22.15	14.89
20111231	28.11	53.37	5.11	15.28	22.68
20121231	18.55	47.81	1.76	13.38	9.51
20131231	25.12	44.92	0.99	8.67	7.21
20141231	8.89	45.86	1.5	5.55	16.15